Cell line	construct	Enzyme activity	Gene
H4 Parental	pcDNA3.1(+)	0.9943255	GBAP1
H4 Parental	pcDNA3.1(+)	0.909075	GBAP1
H4 Parental	pcDNA3.1(+)	0.842912	GBAP1
H4 Parental	pcDNA3.1(+)	1.02174	GBAP1
H4 Parental	pcDNA3.1(+)	1.008373	GBAP1
H4 Parental	pcDNA3.1(+)	1.083729	GBAP1
H4 Parental	pcDNA3.1(+)	0.959709	GBAP1
H4 Parental	pcDNA3.1(+)	0.915317	GBAP1
H4 Parental	pcDNA3.1(+)	0.913345	GBAP1
H4 GBA KO	pcDNA3.1(+)	NA	GBAP1
H4 GBA KO	pcDNA3.1(+)	NA	GBAP1
H4 GBA KO	pcDNA3.1(+)	NA	GBAP1
H4 GBA KO	pcDNA3.1(+)	1.0904197	GBAP1
H4 GBA KO	pcDNA3.1(+)	1.039631599	GBAP1
H4 GBA KO	pcDNA3.1(+)	1.051795	GBAP1
H4 GBA KO	pcDNA3.1(+)	1.031310486	GBAP1
H4 GBA KO	pcDNA3.1(+)	0.969344	GBAP1
H4 GBA KO	pcDNA3.1(+)	0.99832	GBAP1
H4 Parental	pcDNA3.1(+)	0.9943255	GBA
H4 Parental	pcDNA3.1(+)	0.909075	GBA
H4 Parental	pcDNA3.1(+)	0.842912	GBA
H4 Parental	pcDNA3.1(+)	1.02174	GBA
H4 Parental	pcDNA3.1(+)	1.008373	GBA
H4 Parental	pcDNA3.1(+)	1.083729	GBA
H4 Parental	pcDNA3.1(+)	0.959709	GBA
H4 Parental	pcDNA3.1(+)	0.915317	GBA
H4 Parental	pcDNA3.1(+)	0.913345	GBA
H4 GBA KO	pcDNA3.1(+)	NA	GBA
H4 GBA KO	pcDNA3.1(+)	NA	GBA
H4 GBA KO	pcDNA3.1(+)	NA	GBA
H4 GBA KO	pcDNA3.1(+)	1.0904197	GBA
H4 GBA KO	pcDNA3.1(+)	1.039631599	GBA
H4 GBA KO	pcDNA3.1(+)	1.051795	GBA
H4 GBA KO	pcDNA3.1(+)	1.031310486	GBA
H4 GBA KO	pcDNA3.1(+)	0.969344	GBA
H4 GBA KO	pcDNA3.1(+)	0.99832	GBA
H4 Parental	Construct 1	0.8828572	GBAP1
H4 Parental	Construct 1	0.924882	GBAP1
H4 Parental	Construct 1	0.930488	GBAP1
H4 Parental	Construct 1	0.996304	GBAP1
H4 Parental	Construct 1	0.93595	GBAP1
H4 Parental	Construct 1	0.939404	GBAP1
H4 Parental	Construct 1	0.900653	GBAP1
H4 Parental	Construct 1	0.878723	GBAP1
H4 Parental	Construct 1	0.930503	GBAP1
H4 GBA KO	Construct 1	0.920097	GBAP1
H4 GBA KO	Construct 1	0.933625	GBAP1
H4 GBA KO	Construct 1	0.889031	GBAP1
H4 GBA KO	Construct 1	0.9659989	GBAP1
H4 GBA KO	Construct 1	0.983716293	GBAP1
